Id,Ref.,Etiqueta,Descripción,En venta,Tasa IVA,Precio base,Precio base,
52,Ref,Etiqueta,Descripcion,1,0.000,0.00000000,HT,
53,FRU-001,Manzana Golden (1kg),Fruta proximidad,1,1.000,1.85000000,HT,
54,FRU-002,Platano (1kg),Canarias,1,1.000,2.10000000,HT,
55,FRU-003,Pera Conferencia (1kg),Fruta local,1,1.000,1.95000000,HT,
56,FRU-004,Naranja mesa (1kg),Valencia,1,1.000,1.50000000,HT,
57,FRU-005,Mandarina (1kg),Citrico,1,1.000,2.25000000,HT,
58,FRU-006,Fresa (500g),Huelva,1,1.000,3.50000000,HT,
59,FRU-007,Kiwi (ud),Zespri,1,1.000,0.65000000,HT,
60,FRU-008,Limon (1kg),Murcia,1,1.000,1.75000000,HT,
61,VER-001,Tomate rama (1kg),Fresco,1,1.000,2.40000000,HT,
62,VER-002,Cebolla dulce (1kg),Huerta,1,1.000,1.80000000,HT,
63,VER-003,Patata nueva (5kg),Saco,1,1.000,5.50000000,HT,
64,VER-004,Zanahoria (1kg),Bolsa,1,1.000,0.95000000,HT,
65,VER-005,Pimiento rojo (1kg),Fresco,1,1.000,3.20000000,HT,
66,VER-006,Calabacin (1kg),Huerta,1,1.000,1.90000000,HT,
67,VER-007,Berenjena (1kg),Fresco,1,1.000,2.10000000,HT,
68,VER-008,Lechuga (ud),Ensalada,1,1.000,1.10000000,HT,
69,VER-009,Pepino (1kg),Fresco,1,1.000,1.70000000,HT,
70,VER-010,Brocoli (500g),Verdura,1,1.000,1.55000000,HT,
71,LAC-001,Leche entera (1L),Granja,1,1.000,1.05000000,HT,
72,LAC-002,Leche desnatada (1L),Granja,1,1.000,1.05000000,HT,
73,LAC-003,Yogur natural (p4),Lacteo,1,1.000,1.20000000,HT,
74,LAC-004,Yogur griego (p4),Lacteo,1,1.000,1.95000000,HT,
75,LAC-005,Mantequilla (250g),Lacteo,1,1.000,2.45000000,HT,
76,QUE-001,Queso Manchego (kg),Curado,1,1.000,18.50000000,HT,
77,QUE-002,Queso Cabra (ud),Rulo,1,1.000,2.80000000,HT,
78,QUE-003,Queso Burgos (250g),Fresco,1,1.000,1.90000000,HT,
79,QUE-004,Queso Azul (100g),Cuña,1,1.000,1.75000000,HT,
80,QUE-005,Queso Parmesano (200g),Italia,1,1.000,4.20000000,HT,
81,CAR-001,Pechuga pollo (kg),Fresco,1,1.000,7.40000000,HT,
82,CAR-002,Muslos pollo (kg),Fresco,1,1.000,4.80000000,HT,
83,CAR-003,Filete Ternera (kg),Carne,1,1.000,14.50000000,HT,
84,CAR-004,Carne picada (500g),Mixta,1,1.000,4.50000000,HT,
85,CAR-005,Chuleta cerdo (kg),Carne,1,1.000,6.80000000,HT,
86,CAR-006,Lomo cerdo (kg),Carne,1,1.000,7.20000000,HT,
87,CAR-007,Hamburguesa (p2),Vacuno,1,1.000,3.20000000,HT,
88,EMB-001,Jamon Serrano (100g),Lonchas,1,1.000,2.40000000,HT,
89,EMB-002,Jamon Cocido (200g),Extra,1,1.000,2.10000000,HT,
90,EMB-003,Chorizo dulce (ud),Sarta,1,1.000,2.85000000,HT,
91,EMB-004,Fuet Vic (ud),Embutido,1,1.000,2.15000000,HT,
92,EMB-005,Salchichon (100g),Iberico,1,1.000,1.65000000,HT,
93,PRO-001,Huevos L (docena),Granja,1,1.000,2.45000000,HT,
94,PRO-002,Aceite Oliva (1L),Virgen,1,1.000,8.50000000,HT,
95,PRO-003,Arroz redondo (1kg),Grano,1,1.000,1.35000000,HT,
96,PRO-004,Macarrones (500g),Pasta,1,1.000,0.95000000,HT,
97,PRO-005,Espaguetis (500g),Pasta,1,1.000,0.95000000,HT,
98,PRO-006,Harina trigo (1kg),Reposteria,1,1.000,0.85000000,HT,
99,PRO-007,Azucar blanco (1kg),Dulce,1,1.000,1.40000000,HT,
100,PRO-008,Sal fina (1kg),Cocina,1,1.000,0.55000000,HT,
101,PRO-009,Cafe molido (250g),Natural,1,1.000,2.65000000,HT,
102,PRO-010,Pan molde (ud),Blanco,1,1.000,1.60000000,HT,
